variables,type,units,values,description
rotorse.stall_check.stall_margin,input,deg,[2.99828814],Minimum margin from the stall angle
rotorse.stall_check.min_s,input,,[0.25],Minimum nondimensional coordinate along blade span where to define the constraint (blade root typically stalls)
rotorse.rs.aero_gust.V_load,input,m/s,[19.72022518],
rotorse.rs.Omega_load,input,rpm,[7.49924093],
rotorse.rs.pitch_load,input,deg,[0.],
rotorse.rs.aero_gust.azimuth_load,input,deg,[0.],
rotorse.blade_span_cg,output,m,[31.29218901],Distance along the blade span for its center of gravity
rotorse.rs.tot_loads_gust.aeroloads_Px,input,N/m,"[  383.70378807   477.87595139   855.75955393  1550.19301315
  2481.3121905   3372.79552908  4462.50165336  5450.68139489
  6370.06404672  7239.68499783  7943.38118928  8675.75317533
  9663.10750955 10570.85654299 11188.83035798 11924.71265026
 13123.47900603 14592.35707732 15895.42762487 16874.17324557
 17415.90221798 17847.47380693 18275.72076571 18769.81015457
 19171.74743544 19363.41519785 19237.20884145 18714.06491922
 17582.81044841  4924.68740177]",distributed loads in blade-aligned x-direction
rotorse.rs.tot_loads_gust.aeroloads_Py,input,N/m,"[   78.0129745     81.0609319   -130.04526237  -715.51183375
 -1409.83031257 -1859.01654101 -2318.42011553 -2619.9560507
 -2862.49121217 -3076.58922891 -3166.30254309 -3262.36267318
 -3465.825695   -3632.28416396 -3627.62909943 -3665.53340565
 -3879.82196459 -4205.79965404 -4432.51880605 -4492.26791165
 -4439.87797072 -4324.14380352 -4215.80972266 -4143.37513774
 -4074.21364731 -3984.90847752 -3829.17287873 -3579.583238
 -3148.14000724  -962.53937597]",distributed loads in blade-aligned y-direction
rotorse.rs.tot_loads_gust.aeroloads_Pz,input,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",distributed loads in blade-aligned z-direction
rotorse.rs.tot_loads_gust.aeroloads_Omega,input,rpm,[7.49924093],rotor rotation speed
rotorse.rs.tot_loads_gust.aeroloads_pitch,input,deg,[0.],pitch angle
rotorse.rs.tot_loads_gust.aeroloads_azimuth,input,deg,[0.],azimuthal angle
rotorse.rs.3d_curv,output,deg,"[3.51295755 3.40858211 3.2547498  3.22882836 3.34127375 3.59329915
 3.87512738 4.02079003 4.06491627 4.09425043 4.15987212 4.39662442
 4.83536805 5.25740228 5.50936956 5.73070275 6.15065205 6.67477606
 7.05682634 7.2562885  7.42395572 7.7034604  8.01161359 8.25021317
 8.44908226 8.69104953 8.97294163 9.24504962 9.48739561 9.59661216]",total cone angle from precone and curvature
rotorse.rs.z_az,output,m,"[  3.97         8.00448276  12.03896552  16.07344828  20.10793103
  24.14241379  28.17689655  32.21137931  36.24586207  40.28034483
  44.31482759  48.34931034  52.3837931   56.41827586  60.45275862
  64.48724138  68.52172414  72.5562069   76.59068966  80.62517241
  84.65965517  88.69413793  92.72862069  96.76310345 100.79758621
 104.83206897 108.86655172 112.90103448 116.93551724 120.97      ]",location of blade in azimuth z-coordinate system
rotorse.rhoA,output,kg/m,"[3189.14528114 2615.63367382 1988.54810991 1654.17007275 1183.05428376
  838.86818985  639.9924952   541.30886099  495.96812013  482.60440967
  473.94520039  459.74228815  445.88823011  430.41578048  412.52623462
  395.76526591  380.17485971  343.85117059  305.85102525  268.41461655
  241.18126152  211.55242738  175.73732869  137.36877924  101.35034297
   73.94612551   53.71667331   39.20484683   24.78801553    5.68645953]",mass per unit length
rotorse.rs.tot_loads_gust.dynamicFactor,input,,[1.],a dynamic amplification factor to adjust the static deflection calculation
rotorse.rs.x_az,output,m,"[ 0.00000000e+00  3.42959240e-02  8.32926257e-02  1.39255519e-01
  1.91903317e-01  2.32028258e-01  2.49180429e-01  2.49614174e-01
  2.46252569e-01  2.40472011e-01  2.32979267e-01  2.17957140e-01
  1.77121181e-01  1.00301568e-01  1.12660591e-05 -1.12312629e-01
 -2.43799160e-01 -4.15338772e-01 -6.20768435e-01 -8.46243242e-01
 -1.07984644e+00 -1.32901559e+00 -1.60213698e+00 -1.89489952e+00
 -2.20179672e+00 -2.52272811e+00 -2.86392159e+00 -3.22483564e+00
 -3.60465635e+00 -4.00000000e+00]",location of blade in azimuth x-coordinate system (prebend)
rotorse.rs.y_az,output,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",location of blade in azimuth y-coordinate system (sweep)
rotorse.rs.frame.Px_af,input,N/m,"[ 2116.56426842  2296.30290713  2574.8470772   3335.21489753
  4079.35151744  4754.13108899  5728.2461831   6669.18064271
  7587.56370631  8499.08533737  9246.18846344 10038.52950347
 11131.56541645 12140.65942517 12814.74858102 13604.14440419
 14904.03796112 16390.71481084 17642.12707144 18503.6729558
 18956.26464725 19272.2224651  19509.19008369 19748.94754901
 19888.80771829 19886.17190656 19618.22043866 18998.13453747
 17763.84176029  4969.8711542 ]",distributed load (force per unit length) in airfoil x-direction
rotorse.rs.frame.Py_af,input,N/m,"[  671.73299982   720.43062631   541.69414974    55.14422037
  -598.85253934 -1055.23460981 -1493.31542185 -1786.91182297
 -2051.34644654 -2311.62286994 -2472.76364813 -2636.07195797
 -2891.0689516  -3121.81684926 -3199.10506418 -3317.94003632
 -3605.61975285 -4007.93010129 -4323.19039914 -4486.34839759
 -4557.70945207 -4604.14489433 -4685.07348428 -4784.15208572
 -4820.52028884 -4742.73788903 -4553.6549942  -4227.79210222
 -3664.98561244 -1070.54807308]",distributed load (force per unit length) in airfoil y-direction
rotorse.rs.frame.Pz_af,input,N/m,"[-23450.7220325  -12734.12548431  -4737.35027087    169.2307491
   3057.26962878   4246.59313836   4824.32197778   5421.85833621
   6198.00109498   7228.26008963   8273.56999836   9161.74945178
   9982.15980566  10692.69057468  11263.84535289  11780.32216196
  12245.25481443  11910.42226169  11338.79830065  10608.11842986
  10122.56573375   9393.83155251   8229.71685417   6766.7721781
   5239.04040085   4001.57333827   3036.38740073   2310.49331801
   1520.5590731     362.64954553]",distributed load (force per unit length) in airfoil z-direction
rotorse.A,output,m**2,"[1.65004398 1.35733012 1.04108923 1.74805167 1.38525847 1.14845536
 0.98876424 0.87617281 0.78543924 0.72682717 0.67066807 0.61212936
 0.56402489 0.51964997 0.47235715 0.43018524 0.39379741 0.34860727
 0.3058103  0.26745077 0.23445341 0.20034987 0.16269197 0.12616426
 0.0892335  0.06885571 0.0528225  0.04011784 0.01600645 0.00352802]",airfoil cross section material area
rotorse.EA,output,N,"[4.69547521e+10 3.92206950e+10 3.17726682e+10 2.76474367e+10
 2.41976233e+10 2.22252672e+10 2.16681297e+10 2.16716936e+10
 2.22758799e+10 2.31078622e+10 2.37026359e+10 2.37301134e+10
 2.34639984e+10 2.29324136e+10 2.22632670e+10 2.15764196e+10
 2.09013593e+10 1.97165592e+10 1.84029117e+10 1.69779825e+10
 1.55886889e+10 1.36154887e+10 1.09175560e+10 8.06085263e+09
 5.64995008e+09 4.05107381e+09 2.75216296e+09 1.65418911e+09
 7.72584645e+08 1.25391477e+08]",axial stiffness
rotorse.EIxx,output,N*m**2,"[1.52479234e+11 1.27905776e+11 9.55877950e+10 7.41315447e+10
 5.77358588e+10 4.54670792e+10 3.75004000e+10 3.22199261e+10
 2.90577052e+10 2.64886585e+10 2.38899424e+10 2.16017398e+10
 1.97664561e+10 1.80134935e+10 1.63127900e+10 1.47429451e+10
 1.32636989e+10 9.86004930e+09 6.71754043e+09 4.08278639e+09
 2.88558340e+09 2.17891319e+09 1.61454060e+09 1.01662921e+09
 6.72753482e+08 4.43517557e+08 2.89179726e+08 1.80029268e+08
 8.86787353e+07 1.60315587e+06]",edgewise stiffness (bending about :ref:`x-axis of airfoil aligned coordinate system <blade_airfoil_coord>`)
rotorse.EIyy,output,N*m**2,"[1.52533896e+11 1.28301221e+11 8.81059718e+10 5.56360554e+10
 3.64651952e+10 2.93402852e+10 2.41701291e+10 1.90638364e+10
 1.53624497e+10 1.39516725e+10 1.22910722e+10 9.84025181e+09
 8.50929942e+09 7.45697591e+09 5.92868044e+09 4.72692490e+09
 3.92343002e+09 3.08374762e+09 2.46933009e+09 1.99787705e+09
 1.53544375e+09 1.10885559e+09 7.66753334e+08 5.19204706e+08
 3.30214084e+08 2.08483113e+08 1.20814451e+08 5.95011665e+07
 2.22624270e+07 1.86170572e+05]",flapwise stiffness (bending about y-axis of airfoil aligned coordinate system)
rotorse.EIxy,output,N*m**2,"[ 5.70751097e+07  3.28778775e+09  1.19152287e+10  1.78832427e+10
  1.75066514e+10  1.47198277e+10  1.17314023e+10  8.91395711e+09
  6.69383778e+09  5.23536100e+09  4.03072378e+09  2.94401080e+09
  2.25290479e+09  1.72646934e+09  1.23284099e+09  8.64550591e+08
  6.20874131e+08  3.54059109e+08  1.64251017e+08  4.68997147e+07
 -1.28904851e+07 -4.62090185e+07 -5.94352094e+07 -5.07676366e+07
 -3.75684832e+07 -2.40955548e+07 -1.38195609e+07 -6.71415491e+06
 -2.36415865e+06 -1.63428472e+04]",coupled flap-edge stiffness
rotorse.GJ,output,N*m**2,"[8.92840908e+10 7.35485003e+10 4.89704948e+10 2.68065805e+10
 1.31723811e+10 6.39593546e+09 3.00041198e+09 1.58081323e+09
 9.21991517e+08 6.69451784e+08 5.27214976e+08 4.14117796e+08
 3.43494271e+08 2.90826651e+08 2.28511497e+08 1.79072283e+08
 1.48017309e+08 1.13523295e+08 8.63650423e+07 6.46461379e+07
 4.72591150e+07 3.54384675e+07 2.78299983e+07 1.81696466e+07
 1.23456961e+07 8.54600592e+06 5.93363121e+06 4.37015948e+06
 2.98399355e+06 4.70378379e+04]",torsional stiffness (about axial z-direction of airfoil aligned coordinate system)
rotorse.rhoJ,output,kg*m,"[2.07205918e+04 1.70915732e+04 1.15438334e+04 7.65488111e+03
 4.80971344e+03 3.21548841e+03 2.29473450e+03 1.77995053e+03
 1.47566195e+03 1.30287617e+03 1.14742881e+03 9.99140351e+02
 8.91309774e+02 7.95606694e+02 6.95672355e+02 6.09427855e+02
 5.36334085e+02 4.10101257e+02 2.93369304e+02 1.91443873e+02
 1.37187326e+02 1.02502307e+02 7.63002355e+01 5.12070210e+01
 3.43296874e+01 2.22065223e+01 1.46382239e+01 1.01310374e+01
 6.28772438e+00 1.09692088e-01]",polar mass moment of inertia per unit length
rotorse.x_ec,output,m,"[-5.41233725e-16  5.22151766e-16  2.49800181e-16  1.48273867e-04
 -1.57706465e-04 -3.44664385e-04 -2.75736437e-04 -1.18366301e-04
 -1.02468220e-04 -1.11547797e-04 -7.44148890e-05 -7.40868937e-05
 -6.55919539e-05 -5.53541431e-05 -4.22510336e-05 -3.47721989e-05
 -2.28008528e-05 -1.21421776e-05 -4.33775806e-06 -1.94626686e-06
 -5.69409376e-07  5.34364173e-07  1.33026355e-06  1.72150243e-06
  3.10218701e-06  3.87272627e-06  5.53831705e-06  1.03993116e-05
 -1.04083409e-17  1.38777878e-17]",x-distance to elastic center from point about which above structural properties are computed (airfoil aligned coordinate system)
rotorse.y_ec,output,m,"[ 2.42861287e-16 -2.77555756e-16 -8.32667268e-17  6.71385832e-03
  1.58075415e-03 -4.41159938e-04 -1.07376060e-03 -1.14426911e-03
 -1.19060698e-03 -1.10250586e-03 -1.01324138e-03 -9.33424468e-04
 -8.91798653e-04 -8.52346962e-04 -7.84082482e-04 -7.13577695e-04
 -6.61732637e-04 -4.78014855e-04 -3.07844396e-04 -1.57970408e-04
 -9.71440708e-05 -8.29312375e-05 -9.19861448e-05 -8.51088612e-05
 -1.33417854e-04 -1.52002535e-04 -1.98407764e-04 -3.44179238e-04
 -6.93889390e-17  1.04083409e-17]",y-distance to elastic center from point about which above structural properties are computed
rotorse.rs.strains.EI11,input,N*m**2,"[1.52443283e+11 1.24809771e+11 7.93582047e+10 4.47506495e+10
 2.66165344e+10 2.06200085e+10 1.73426783e+10 1.45635517e+10
 1.26341950e+10 1.20529728e+10 1.10279157e+10 9.14449553e+09
 8.07516572e+09 7.18179308e+09 5.78431972e+09 4.65284753e+09
 3.88233952e+09 3.06529840e+09 2.46298902e+09 1.99682258e+09
 1.53532069e+09 1.10686382e+09 7.62606833e+08 5.14076186e+08
 3.26142113e+08 2.06038285e+08 1.19687670e+08 5.91283002e+07
 2.21783786e+07 1.85982106e+05]",stiffness w.r.t principal axis 1
rotorse.rs.strains.EI22,input,N*m**2,"[1.52569847e+11 1.31397227e+11 1.04335562e+11 8.50157037e+10
 6.75844585e+10 5.41873489e+10 4.43278242e+10 3.67201822e+10
 3.17859280e+10 2.83873299e+10 2.51530744e+10 2.22974752e+10
 2.02005711e+10 1.82886596e+10 1.64571370e+10 1.48170115e+10
 1.33047802e+10 9.87849401e+09 6.72387975e+09 4.08384044e+09
 2.88570631e+09 2.18090486e+09 1.61868701e+09 1.02175767e+09
 6.76825352e+08 4.45962291e+08 2.90306398e+08 1.80401938e+08
 8.87627836e+07 1.60334434e+06]",stiffness w.r.t principal axis 2
rotorse.rs.strains.alpha,input,deg,"[57.79401416 46.72076672 36.28488474 31.3286226  29.36065068 30.64322111
 30.19859078 26.78730963 22.17468783 19.93411277 17.40005997 13.29671681
 10.90717945  9.05622757  6.67869307  4.89731956  3.78641102  2.98285681
  2.21086089  1.28799133 -0.54696622 -2.46811778 -3.99077755 -5.76842045
 -6.18602251 -5.79362321 -4.66131098 -3.17862039 -2.03606861 -0.66070562]",Angle between blade c.s. and principal axes
rotorse.rs.strains.M1,input,N*m,"[-5.98195106e+07 -5.62836094e+07 -6.64759351e+07 -7.05827968e+07
 -6.95772063e+07 -6.58985068e+07 -6.15895562e+07 -5.82702095e+07
 -5.53425448e+07 -5.16954261e+07 -4.75388947e+07 -4.33886521e+07
 -3.91200372e+07 -3.48340794e+07 -3.06831631e+07 -2.67038690e+07
 -2.29539908e+07 -1.94671280e+07 -1.62525872e+07 -1.33154013e+07
 -1.06476743e+07 -8.25732529e+06 -6.17187523e+06 -4.39374324e+06
 -2.93513058e+06 -1.79152213e+06 -9.38867576e+05 -3.65501910e+05
 -6.53977317e+04  3.62807328e+00]",distribution along blade span of bending moment w.r.t principal axis 1
rotorse.rs.strains.M2,input,N*m,"[ 8.53715662e+07  8.05525859e+07  6.40909039e+07  4.99505863e+07
  4.08328230e+07  3.57569423e+07  3.19627962e+07  2.63175324e+07
  1.93794771e+07  1.37948589e+07  9.85273202e+06  5.84255368e+06
  2.61374039e+06  7.21547558e+05 -7.41464771e+05 -1.80770178e+06
 -2.28443992e+06 -2.37510977e+06 -2.28990813e+06 -2.14037955e+06
 -2.03063940e+06 -1.91189038e+06 -1.67757142e+06 -1.36824203e+06
 -9.93646004e+05 -6.09749079e+05 -3.04094238e+05 -1.08452986e+05
 -1.78356304e+04  2.20555078e-01]",distribution along blade span of bending moment w.r.t principal axis 2
rotorse.rs.strains.F3,input,N,"[6.45548895e+05 7.18542444e+05 7.53786615e+05 7.63001611e+05
 7.56492983e+05 7.41759334e+05 7.23461114e+05 7.02792103e+05
 6.79352049e+05 6.52268046e+05 6.20997123e+05 5.85825884e+05
 5.47208008e+05 5.05501855e+05 4.61210237e+05 4.14724602e+05
 3.66259226e+05 3.17531413e+05 2.70632141e+05 2.26359927e+05
 1.84541147e+05 1.45171873e+05 1.09620932e+05 7.93694043e+04
 5.51507899e+04 3.65102481e+04 2.23129865e+04 1.15270404e+04
 3.79888519e+03 1.79625204e-11]",axial resultant along blade span
rotorse.xu_spar,output,,"[2.22410658 2.27442724 2.08348682 1.73186304 1.40539079 1.25781703
 1.12955538 0.99900758 0.8899509  0.84832126 0.78848662 0.71600463
 0.674626   0.64652326 0.59153738 0.54394293 0.50597205 0.46377157
 0.43271982 0.40401841 0.37157766 0.33968868 0.31443476 0.29721813
 0.28010348 0.26138695 0.24148815 0.22084609 0.19948046 0.05180904]",x-position of midpoint of spar cap on upper surface for strain calculation
rotorse.xl_spar,output,,"[-2.24727256 -2.19851796 -2.11509442 -1.95134577 -1.66083036 -1.46287194
 -1.28857249 -1.11650994 -0.98711505 -0.91912025 -0.85404123 -0.76922498
 -0.72090867 -0.68725687 -0.62541284 -0.57152504 -0.53037553 -0.47924053
 -0.44144782 -0.40807218 -0.37257622 -0.33872387 -0.31194308 -0.29496143
 -0.2776687  -0.25946619 -0.2400732  -0.21965534 -0.19797782 -0.0516827 ]",x-position of midpoint of spar cap on lower surface for strain calculation
rotorse.yu_spar,output,,"[ 1.34564397  1.23008785  0.97833064  0.54160928  0.14213007 -0.03940593
 -0.11010285 -0.13772691 -0.17168211 -0.18397875 -0.19104228 -0.20639662
 -0.21638376 -0.22494366 -0.23440003 -0.23983072 -0.24015941 -0.19136835
 -0.13686536 -0.08291857 -0.06220357 -0.05575138 -0.05481917 -0.04429332
 -0.0508828  -0.04527262 -0.04206617 -0.0458713  -0.0617521  -0.02040913]",y-position of midpoint of spar cap on upper surface for strain calculation
rotorse.yl_spar,output,,"[-1.30694851 -1.38942157 -1.26147164 -1.13635676 -1.03756416 -0.93552572
 -0.79278741 -0.65493335 -0.56319518 -0.49349983 -0.43319752 -0.3867371
 -0.35634711 -0.33359877 -0.31281429 -0.29456834 -0.27661557 -0.21275153
 -0.14655458 -0.08315772 -0.05309422 -0.03663927 -0.02603862 -0.00814972
 -0.01187725 -0.0083849  -0.00898068 -0.01769342 -0.03953418 -0.01574277]",y-position of midpoint of spar cap on lower surface for strain calculation
rotorse.xu_te,output,,"[ 0.0089502  -0.01052988  0.66805559  0.92295787  0.81797156  0.72622539
  0.56832001  0.58463515  0.44622641  0.37302502  0.30927226  0.24972709
  0.20534186  0.16737412  0.20133171  0.16232735  0.13510469  0.10558332
  0.07857697  0.05748664  0.03016005 -0.00118756 -0.02670278 -0.03979901
 -0.00190047 -0.00112112 -0.00169102 -0.00314486 -0.00545352 -0.00274269]",x-position of midpoint of trailing-edge panel on upper surface for strain calculation
rotorse.xl_te,output,,"[ 0.0089502  -0.01052988  0.5982256   0.31802697  0.40506304  0.40102504
  0.40128355  0.37959965  0.33749704  0.24902869  0.192264    0.14537108
  0.11406795  0.08758796  0.07841272  0.05810455  0.04262267  0.02744364
  0.01229978 -0.00316046 -0.0216866  -0.04293944 -0.0617501  -0.07269068
 -0.00190047 -0.00112112 -0.00169102 -0.00314486 -0.00545352 -0.00274269]",x-position of midpoint of trailing-edge panel on lower surface for strain calculation
rotorse.yu_te,output,,"[-2.59984675 -2.60849095  2.76704276  2.66146618  2.6843537   2.83357389
  3.33465504  3.09397945  3.39141092  3.25280967  3.12524329  3.00993176
  2.90820464  2.8020865   2.32966971  2.23599773  2.14332979  2.10042879
  2.05924404  2.01253917  1.92945339  1.83171799  1.72872162  1.63370801
 -0.87400541 -0.83207608 -0.79076781 -0.75337272 -0.72613262 -0.2023877 ]",y-position of midpoint of trailing-edge panel on upper surface for strain calculation
rotorse.yl_te,output,,"[-2.59984675 -2.60849095  2.76704276  2.58661383  2.65392836  2.81876687
  2.98769824  3.08666923  3.38609236  3.24757879  3.12080048  3.00669219
  2.90600232  2.80076886  2.3328944   2.24001034  2.1481778   2.10535757
  2.06417877  2.01798566  1.93496924  1.83695143  1.73376269  1.63879798
 -0.87400541 -0.83207608 -0.79076781 -0.75337272 -0.72613262 -0.2023877 ]",y-position of midpoint of trailing-edge panel on lower surface for strain calculation
rotorse.rs.tip_pos.dx_tip,input,m,[26.91089608],deflection at tip in blade x-direction
rotorse.rs.tip_pos.dy_tip,input,m,[-6.41619963],deflection at tip in blade y-direction
rotorse.rs.tip_pos.dz_tip,input,m,[-0.00218847],deflection at tip in blade z-direction
rotorse.rs.tip_pos.3d_curv_tip,input,deg,[9.59661216],total coning angle including precone and curvature
rotorse.rs.tip_pos.dynamicFactor,input,,[1.],a dynamic amplification factor to adjust the static deflection calculation
rotorse.rs.aero_hub_loads.V_load,input,m/s,[19.72022518],
rotorse.rs.aero_hub_loads.nSector,input,Unavailable,4,
rotorse.rs.constr.strainU_spar,input,,"[-1.48643574e-03 -1.84970423e-03 -2.18740841e-03 -2.71763524e-03
 -3.54213867e-03 -3.95670012e-03 -4.03814991e-03 -4.08352637e-03
 -4.03219001e-03 -3.77422828e-03 -3.53687823e-03 -3.54665258e-03
 -3.41987447e-03 -3.28579132e-03 -3.28925411e-03 -3.27064590e-03
 -3.13168462e-03 -3.06082890e-03 -2.94371162e-03 -2.75788196e-03
 -2.63081423e-03 -2.58616848e-03 -2.59710963e-03 -2.59823492e-03
 -2.58512063e-03 -2.32810973e-03 -1.93380966e-03 -1.38920267e-03
 -6.00111973e-04  1.00890381e-06]","strain in spar cap on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.constr.strainL_spar,input,,"[ 1.47606029e-03  1.77037064e-03  2.17262982e-03  2.83594577e-03
  3.46108692e-03  3.48816718e-03  3.46696382e-03  3.55410930e-03
  3.58762955e-03  3.33379138e-03  3.19044112e-03  3.25021635e-03
  3.14229398e-03  3.03240356e-03  3.06404101e-03  3.06284426e-03
  2.95002372e-03  2.89594843e-03  2.80313770e-03  2.64628091e-03
  2.54057266e-03  2.50637875e-03  2.51867872e-03  2.53422742e-03
  2.51268951e-03  2.26731131e-03  1.88565832e-03  1.35150951e-03
  5.76110891e-04 -1.00959864e-06]","strain in spar cap on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.constr.strainU_te,input,,"[-1.07743852e-04  2.29541892e-04 -7.16085705e-04 -7.06154951e-04
 -1.10139000e-04  7.32452795e-04  1.89469295e-03  1.29018112e-03
  1.74897900e-03  1.67648536e-03  1.52596333e-03  1.32423797e-03
  1.29120670e-03  1.20532485e-03  4.61095785e-04  4.21586216e-04
  3.91006069e-04  5.14057672e-04  6.93188132e-04  9.60284710e-04
  1.00873910e-03  1.01406544e-03  1.02103493e-03  1.10717377e-03
 -4.20533687e-04 -4.00678228e-04 -3.16234948e-04 -1.81440462e-04
 -5.85490276e-05 -7.11923280e-08]","strain in trailing edge on upper surface at location xu,yu_strain with loads P_strain"
rotorse.rs.constr.strainL_te,input,,"[-1.07743852e-04  2.29541892e-04 -6.43548993e-04  2.69841160e-04
  9.29925719e-04  1.72027888e-03  2.06442096e-03  2.08023375e-03
  2.20925807e-03  2.19172820e-03  2.01691832e-03  1.80969061e-03
  1.72588974e-03  1.58703100e-03  1.11018958e-03  1.01893177e-03
  9.38279127e-04  1.01147024e-03  1.13227227e-03  1.36755099e-03
  1.37215119e-03  1.32972863e-03  1.30888990e-03  1.39370714e-03
 -4.20533687e-04 -4.00678228e-04 -3.16234948e-04 -1.81440462e-04
 -5.85490276e-05 -7.11923280e-08]","strain in trailing edge on lower surface at location xl,yl_strain with loads P_strain"
rotorse.rs.constr.max_strainU_spar,input,,[0.004],maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_spar,input,,[0.004],maximum strain in spar cap pressure side
rotorse.rs.constr.max_strainU_te,input,,[0.004],maximum strain in spar cap suction side
rotorse.rs.constr.max_strainL_te,input,,[0.004],maximum strain in spar cap pressure side
rotorse.rs.constr.s_opt_spar_cap_ss,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap suction side
rotorse.rs.constr.s_opt_spar_cap_ps,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap pressure side
rotorse.rs.constr.s_opt_te_ss,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge suction side
rotorse.rs.constr.s_opt_te_ps,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge pressure side
rotorse.rs.constr.rated_Omega,input,rpm,[7.49924093],rotor rotation speed at rated
rotorse.rs.constr.flap_mode_freqs,input,Hz,[0.53137356 1.63349748 3.30689913 5.69509147 8.7658978 ],Frequencies associated with mode shapes in the flap direction
rotorse.rs.constr.edge_mode_freqs,input,Hz,[ 0.74452458  2.22686495  4.44899491  7.60472782 11.2732201 ],Frequencies associated with mode shapes in the edge direction
rotorse.rs.constr.blade_number,input,Unavailable,3,
rotorse.rs.brs.rootD,input,m,[5.2],Blade root outer diameter / Chord at blade span station 0
