variables,type,units,values,description
blade.ps.layer_thickness_original,input,m,"[[0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005    ]
 [0.065      0.04800279 0.033292   0.01926887 0.01406293 0.00856717
  0.00422099 0.00311171 0.0020769  0.00134756 0.001293   0.00124203
  0.00117458 0.00110339 0.00103293 0.001      0.001      0.001
  0.001      0.001      0.00100013 0.00102217 0.00105827 0.00108623
  0.00106675 0.00103848 0.00100343 0.001      0.001      0.001     ]
 [0.         0.         0.         0.01096853 0.02133832 0.0317352
  0.04160593 0.04984494 0.05812354 0.06312958 0.05801117 0.05332646
  0.05059974 0.04984837 0.04911173 0.04759787 0.04486122 0.04234193
  0.03876062 0.03462629 0.03037354 0.02940123 0.02971785 0.0300295
  0.02239744 0.01278279 0.00312884 0.00204323 0.         0.        ]
 [0.         0.         0.         0.01096853 0.02133832 0.0317352
  0.04160593 0.04984494 0.05812354 0.06312958 0.05801117 0.05332646
  0.05059974 0.04984837 0.04911173 0.04759787 0.04486122 0.04234193
  0.03876062 0.03462629 0.03037354 0.02940123 0.02971785 0.0300295
  0.02239744 0.01278279 0.00312884 0.00204323 0.         0.        ]
 [0.         0.         0.         0.00311612 0.00326175 0.00340954
  0.00341952 0.00297175 0.00251423 0.00211766 0.00188941 0.00164872
  0.00146862 0.00136136 0.00124907 0.00123139 0.00132931 0.00142642
  0.00141937 0.00138493 0.00135162 0.00143893 0.00160424 0.00176964
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.0013626  0.00319121 0.0050594
  0.00653033 0.00689266 0.00722352 0.00741642 0.00715533 0.00690372
  0.00706912 0.00777988 0.00851129 0.00810552 0.00581414 0.00368146
  0.00257481 0.00189949 0.00119688 0.00115642 0.00142939 0.00168267
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.0013626  0.00319121 0.0050594
  0.00653033 0.00689266 0.00722352 0.00741642 0.00715533 0.00690372
  0.00706912 0.00777988 0.00851129 0.00810552 0.00581414 0.00368146
  0.00257481 0.00189949 0.00119688 0.00115642 0.00142939 0.00168267
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.01024138 0.02265517 0.03518589
  0.04597383 0.05161338 0.05717894 0.06089602 0.060103   0.05945452
  0.05655561 0.05030644 0.04404833 0.03950283 0.03686207 0.03416591
  0.03052019 0.02638204 0.02222507 0.01903714 0.01631034 0.01355172
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00534483 0.0087931  0.01234651
  0.01452804 0.01334036 0.01196193 0.01076239 0.01010361 0.00941379
  0.00872414 0.0080351  0.00732927 0.007      0.007      0.007
  0.007      0.007      0.007      0.007      0.007      0.007
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00141379 0.00555172 0.00979972
  0.01271893 0.01217018 0.01148276 0.0107931  0.01010345 0.00936314
  0.00900091 0.009      0.009      0.009      0.009      0.009
  0.00858843 0.00789876 0.00719013 0.007      0.007      0.007
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00996552 0.01962069 0.02925226
  0.03937526 0.05107259 0.06288747 0.07027217 0.06472097 0.06000157
  0.0534306  0.04444856 0.03539108 0.02910539 0.02582759 0.02237931
  0.01893103 0.01548763 0.0120026  0.0099993  0.00865517 0.00727586
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]
 [0.         0.         0.         0.04265517 0.0392069  0.03572249
  0.0327637  0.03134684 0.02996552 0.02858621 0.0272069  0.02584756
  0.02417481 0.02210125 0.02000622 0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]
 [0.         0.         0.         0.04865517 0.0452069  0.04173738
  0.03861064 0.03651899 0.03444828 0.03237931 0.03031034 0.02826277
  0.02589871 0.0231378  0.02031384 0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.         0.        ]
 [0.         0.         0.         0.00050682 0.00057629 0.00064959
  0.0007402  0.00091676 0.00108996 0.00123184 0.00129    0.00135323
  0.00142734 0.00152797 0.0016233  0.00171946 0.00181224 0.00191906
  0.00194001 0.00194    0.00193838 0.0018043  0.00159258 0.00138802
  0.00115196 0.00091126 0.00066909 0.00063733 0.         0.        ]]","2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
blade.ps.s_opt_spar_cap_ss,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap suction side
blade.ps.spar_cap_ss_opt,input,m,"[0.         0.         0.         0.01096853 0.02133832 0.0317352
 0.04160593 0.04984494 0.05812354 0.06312958 0.05801117 0.05332646
 0.05059974 0.04984837 0.04911173 0.04759787 0.04486122 0.04234193
 0.03876062 0.03462629 0.03037354 0.02940123 0.02971785 0.0300295
 0.02239744 0.01278279 0.00312884 0.00204323 0.         0.        ]",1D array of the the blade spanwise distribution of the spar caps suction side being optimized
blade.ps.s_opt_spar_cap_ps,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade spar cap pressure side
blade.ps.spar_cap_ps_opt,input,m,"[0.         0.         0.         0.01096853 0.02133832 0.0317352
 0.04160593 0.04984494 0.05812354 0.06312958 0.05801117 0.05332646
 0.05059974 0.04984837 0.04911173 0.04759787 0.04486122 0.04234193
 0.03876062 0.03462629 0.03037354 0.02940123 0.02971785 0.0300295
 0.02239744 0.01278279 0.00312884 0.00204323 0.         0.        ]",1D array of the the blade spanwise distribution of the spar caps pressure side being optimized
blade.ps.s_opt_te_ss,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge suction side
blade.ps.te_ss_opt,input,m,"[0.         0.         0.         0.0013626  0.00319121 0.0050594
 0.00653033 0.00689266 0.00722352 0.00741642 0.00715533 0.00690372
 0.00706912 0.00777988 0.00851129 0.00810552 0.00581414 0.00368146
 0.00257481 0.00189949 0.00119688 0.00115642 0.00142939 0.00168267
 0.         0.         0.         0.         0.         0.        ]",1D array of the the blade spanwise distribution of the trailing edges suction side being optimized
blade.ps.s_opt_te_ps,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade trailing edge pressure side
blade.ps.te_ps_opt,input,m,"[0.         0.         0.         0.0013626  0.00319121 0.0050594
 0.00653033 0.00689266 0.00722352 0.00741642 0.00715533 0.00690372
 0.00706912 0.00777988 0.00851129 0.00810552 0.00581414 0.00368146
 0.00257481 0.00189949 0.00119688 0.00115642 0.00142939 0.00168267
 0.         0.         0.         0.         0.         0.        ]",1D array of the the blade spanwise distribution of the trailing edges pressure side being optimized
high_level_tower_props.tower_ref_axis_user,input,m,"[[  0.     0.     0.  ]
 [  0.     0.    10.8 ]
 [  0.     0.    21.61]
 [  0.     0.    32.41]
 [  0.     0.    43.22]
 [  0.     0.    54.02]
 [  0.     0.    64.82]
 [  0.     0.    75.63]
 [  0.     0.    86.43]
 [  0.     0.    97.23]
 [  0.     0.   108.  ]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.distance_tt_hub,input,m,[2.],Vertical distance from tower top to hub center.
high_level_tower_props.hub_height_user,input,m,[110.],Height of the hub specified by the user.
high_level_tower_props.rotor_diameter,input,m,[130.],Diameter of the rotor used in WISDEM. It is defined as two times the blade length plus the hub diameter.
af_3d.aoa,input,rad,"[-3.14159265 -3.08923278 -3.0368729  -2.98451302 -2.93215314 -2.87979327
 -2.82743339 -2.77507351 -2.72271363 -2.67035376 -2.61799388 -2.565634
 -2.51327412 -2.46091425 -2.40855437 -2.35619449 -2.30383461 -2.25147474
 -2.19911486 -2.14675498 -2.0943951  -2.04203522 -1.98967535 -1.93731547
 -1.88495559 -1.83259571 -1.78023584 -1.72787596 -1.67551608 -1.6231562
 -1.57079633 -1.51843645 -1.46607657 -1.41371669 -1.36135682 -1.30899694
 -1.25663706 -1.20427718 -1.15191731 -1.09955743 -1.04719755 -0.99483767
 -0.9424778  -0.89011792 -0.83775804 -0.78539816 -0.73303829 -0.68067841
 -0.62831853 -0.57595865 -0.52359878 -0.51302102 -0.50244327 -0.49186552
 -0.48128776 -0.47071001 -0.46013226 -0.4495545  -0.43897675 -0.428399
 -0.41782125 -0.40724349 -0.39666574 -0.38608799 -0.37551023 -0.36493248
 -0.35435473 -0.34377697 -0.33319922 -0.32262147 -0.31204371 -0.30146596
 -0.29088821 -0.28031046 -0.2697327  -0.25915495 -0.2485772  -0.23799944
 -0.22742169 -0.21684394 -0.20626618 -0.19568843 -0.18511068 -0.17453293
 -0.16395517 -0.15337742 -0.14279967 -0.13222191 -0.12164416 -0.11106641
 -0.10048865 -0.0899109  -0.07933315 -0.06875539 -0.05817764 -0.04759989
 -0.03702214 -0.02644438 -0.01586663 -0.00528888  0.00528888  0.01586663
  0.02644438  0.03702214  0.04759989  0.05817764  0.06875539  0.07933315
  0.0899109   0.10048865  0.11106641  0.12164416  0.13222191  0.14279967
  0.15337742  0.16395517  0.17453293  0.18511068  0.19568843  0.20626618
  0.21684394  0.22742169  0.23799944  0.2485772   0.25915495  0.2697327
  0.28031046  0.29088821  0.30146596  0.31204371  0.32262147  0.33319922
  0.34377697  0.35435473  0.36493248  0.37551023  0.38608799  0.39666574
  0.40724349  0.41782125  0.428399    0.43897675  0.4495545   0.46013226
  0.47071001  0.48128776  0.49186552  0.50244327  0.51302102  0.52359878
  0.57595865  0.62831853  0.68067841  0.73303829  0.78539816  0.83775804
  0.89011792  0.9424778   0.99483767  1.04719755  1.09955743  1.15191731
  1.20427718  1.25663706  1.30899694  1.36135682  1.41371669  1.46607657
  1.51843645  1.57079633  1.6231562   1.67551608  1.72787596  1.78023584
  1.83259571  1.88495559  1.93731547  1.98967535  2.04203522  2.0943951
  2.14675498  2.19911486  2.25147474  2.30383461  2.35619449  2.40855437
  2.46091425  2.51327412  2.565634    2.61799388  2.67035376  2.72271363
  2.77507351  2.82743339  2.87979327  2.93215314  2.98451302  3.0368729
  3.08923278  3.14159265]",1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
af_3d.Re,input,,[6000000.],1D array of the Reynolds numbers used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
af_3d.cl,input,,"[[[[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  ...

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]]


 [[[ 7.15569904e-05]]

  [[ 6.23768336e-03]]

  [[ 1.25964737e-02]]

  ...

  [[-1.25964737e-02]]

  [[-6.23768336e-03]]

  [[ 7.15569904e-05]]]


 [[[ 6.06785926e-04]]

  [[ 5.28940423e-02]]

  [[ 1.06895378e-01]]

  ...

  [[-1.06895378e-01]]

  [[-5.28940423e-02]]

  [[ 6.06785926e-04]]]


 ...


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
af_3d.cd,input,,"[[[[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]

  ...

  [[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]]


 [[[0.49827287]]

  [[0.49937384]]

  [[0.49941838]]

  ...

  [[0.49941838]]

  [[0.49937384]]

  [[0.49827287]]]


 [[[0.44384458]]

  [[0.45178323]]

  [[0.45477177]]

  ...

  [[0.45477177]]

  [[0.45178323]]

  [[0.44384458]]]


 ...


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
af_3d.cm,input,,"[[[[ 2.16840434e-19]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  ...

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 2.16840434e-19]]]


 [[[ 1.11539157e-04]]

  [[ 7.77837010e-03]]

  [[ 1.60285275e-02]]

  ...

  [[-2.00356594e-02]]

  [[-9.72296262e-03]]

  [[ 1.11539157e-04]]]


 [[[ 9.06500889e-04]]

  [[ 6.32163593e-02]]

  [[ 1.30267028e-01]]

  ...

  [[-1.62833785e-01]]

  [[-7.90204491e-02]]

  [[ 9.06500889e-04]]]


 ...


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the blade span for n_span stations, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
af_3d.rated_TSR,input,,[8.01754386],Constant tip speed ratio in region II.
af_3d.r_blade,input,m,"[ 2.          4.17241379  6.34482759  8.51724138 10.68965517 12.86206897
 15.03448276 17.20689655 19.37931034 21.55172414 23.72413793 25.89655172
 28.06896552 30.24137931 32.4137931  34.5862069  36.75862069 38.93103448
 41.10344828 43.27586207 45.44827586 47.62068966 49.79310345 51.96551724
 54.13793103 56.31034483 58.48275862 60.65517241 62.82758621 65.        ]",1D array of the dimensional spanwise grid defined along the rotor (hub radius to blade tip projected on the plane)
af_3d.rotor_radius,input,m,[65.],"Scalar of the rotor radius, defined ignoring prebend and sweep curvatures, and cone and uptilt angles."
af_3d.r_thick,input,,"[1.         0.98202811 0.83422093 0.63368653 0.49837466 0.4410933
 0.40369869 0.38156768 0.36543958 0.35282655 0.34201519 0.33305383
 0.32527083 0.31794207 0.31034339 0.30175064 0.291356   0.27940307
 0.26721098 0.25611482 0.24721402 0.23860966 0.23008469 0.22230017
 0.21591718 0.21159678 0.21000003 0.21       0.21       0.21      ]",1D array of the relative thicknesses of the blade defined along span.
af_3d.chord,input,m,"[2.6        2.6400108  3.02068886 3.43940393 3.78632687 4.03933222
 4.20600551 4.28630928 4.29010407 4.22617877 4.10030408 3.92512419
 3.70983694 3.46870635 3.22039928 2.98486122 2.77085185 2.58013169
 2.4118525  2.26552908 2.1420721  2.04143062 1.96370352 1.90855684
 1.87089392 1.81035886 1.6705797  1.39382511 0.92204843 0.2       ]",1D array of the chord values defined along blade span.
tower_grid.ref_axis,input,m,"[[  0.     0.     0.  ]
 [  0.     0.    10.8 ]
 [  0.     0.    21.61]
 [  0.     0.    32.41]
 [  0.     0.    43.22]
 [  0.     0.    54.02]
 [  0.     0.    64.82]
 [  0.     0.    75.63]
 [  0.     0.    86.43]
 [  0.     0.    97.23]
 [  0.     0.   108.  ]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
rotorse.ccblade.Uhub,input,m/s,[9.],Undisturbed wind speed
rotorse.tsr,input,,[8.01754386],Tip speed ratio
rotorse.pitch,input,deg,[0.],Pitch angle
rotorse.r,input,m,"[ 2.          4.17241379  6.34482759  8.51724138 10.68965517 12.86206897
 15.03448276 17.20689655 19.37931034 21.55172414 23.72413793 25.89655172
 28.06896552 30.24137931 32.4137931  34.5862069  36.75862069 38.93103448
 41.10344828 43.27586207 45.44827586 47.62068966 49.79310345 51.96551724
 54.13793103 56.31034483 58.48275862 60.65517241 62.82758621 65.        ]",radial locations where blade is defined (should be increasing and not go all the way to hub or tip)
rotorse.ccblade.s_opt_chord,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
rotorse.ccblade.s_opt_theta,input,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist
rotorse.chord,input,m,"[2.6        2.6400108  3.02068886 3.43940393 3.78632687 4.03933222
 4.20600551 4.28630928 4.29010407 4.22617877 4.10030408 3.92512419
 3.70983694 3.46870635 3.22039928 2.98486122 2.77085185 2.58013169
 2.4118525  2.26552908 2.1420721  2.04143062 1.96370352 1.90855684
 1.87089392 1.81035886 1.6705797  1.39382511 0.92204843 0.2       ]",chord length at each section
rotorse.ccblade.theta_in,input,rad,"[ 0.349       0.33965701  0.32741368  0.31081014  0.27858944  0.2354309
  0.19864576  0.1686555   0.13843916  0.11106032  0.08612175  0.06571169
  0.05023676  0.03944053  0.03041456  0.02364328  0.01824169  0.01263081
  0.00691721  0.00280744 -0.00096308 -0.00441804 -0.00790973 -0.01224484
 -0.01713418 -0.02222183 -0.02894752 -0.04010525 -0.0581402  -0.081     ]",twist angle at each section (positive decreases angle of attack)
rotorse.ccblade.aoa_op,input,rad,"[3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265
 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265
 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265
 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265
 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265 3.14159265]",1D array with the operational angles of attack for the airfoils along blade span.
rotorse.airfoils_aoa,input,deg,"[-180.         -177.         -174.         -171.         -168.
 -165.         -162.         -159.         -156.         -153.
 -150.         -147.         -144.         -141.         -138.
 -135.         -132.         -129.         -126.         -123.
 -120.         -117.         -114.         -111.         -108.
 -105.         -102.          -99.          -96.          -93.
  -90.          -87.          -84.          -81.          -78.
  -75.          -72.          -69.          -66.          -63.
  -60.          -57.          -54.          -51.          -48.
  -45.          -42.          -39.          -36.          -33.
  -30.          -29.39393939  -28.78787879  -28.18181818  -27.57575758
  -26.96969697  -26.36363636  -25.75757576  -25.15151515  -24.54545455
  -23.93939394  -23.33333333  -22.72727273  -22.12121212  -21.51515152
  -20.90909091  -20.3030303   -19.6969697   -19.09090909  -18.48484848
  -17.87878788  -17.27272727  -16.66666667  -16.06060606  -15.45454545
  -14.84848485  -14.24242424  -13.63636364  -13.03030303  -12.42424242
  -11.81818182  -11.21212121  -10.60606061  -10.           -9.39393939
   -8.78787879   -8.18181818   -7.57575758   -6.96969697   -6.36363636
   -5.75757576   -5.15151515   -4.54545455   -3.93939394   -3.33333333
   -2.72727273   -2.12121212   -1.51515152   -0.90909091   -0.3030303
    0.3030303     0.90909091    1.51515152    2.12121212    2.72727273
    3.33333333    3.93939394    4.54545455    5.15151515    5.75757576
    6.36363636    6.96969697    7.57575758    8.18181818    8.78787879
    9.39393939   10.           10.60606061   11.21212121   11.81818182
   12.42424242   13.03030303   13.63636364   14.24242424   14.84848485
   15.45454545   16.06060606   16.66666667   17.27272727   17.87878788
   18.48484848   19.09090909   19.6969697    20.3030303    20.90909091
   21.51515152   22.12121212   22.72727273   23.33333333   23.93939394
   24.54545455   25.15151515   25.75757576   26.36363636   26.96969697
   27.57575758   28.18181818   28.78787879   29.39393939   30.
   33.           36.           39.           42.           45.
   48.           51.           54.           57.           60.
   63.           66.           69.           72.           75.
   78.           81.           84.           87.           90.
   93.           96.           99.          102.          105.
  108.          111.          114.          117.          120.
  123.          126.          129.          132.          135.
  138.          141.          144.          147.          150.
  153.          156.          159.          162.          165.
  168.          171.          174.          177.          180.        ]",angle of attack grid for polars
rotorse.airfoils_cl,input,,"[[[[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  ...

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]]


 [[[ 7.15569904e-05]]

  [[ 6.23768336e-03]]

  [[ 1.25964737e-02]]

  ...

  [[-1.25964737e-02]]

  [[-6.23768336e-03]]

  [[ 7.15569904e-05]]]


 [[[ 6.06785926e-04]]

  [[ 5.28940423e-02]]

  [[ 1.06895378e-01]]

  ...

  [[-1.06895378e-01]]

  [[-5.28940423e-02]]

  [[ 6.06785926e-04]]]


 ...


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]


 [[[ 1.61056220e-03]]

  [[ 1.49675965e-01]]

  [[ 3.02327827e-01]]

  ...

  [[-2.83002022e-01]]

  [[-1.40393892e-01]]

  [[ 1.61056220e-03]]]]","lift coefficients, spanwise"
rotorse.airfoils_cd,input,,"[[[[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]

  ...

  [[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]]


 [[[0.49827287]]

  [[0.49937384]]

  [[0.49941838]]

  ...

  [[0.49941838]]

  [[0.49937384]]

  [[0.49827287]]]


 [[[0.44384458]]

  [[0.45178323]]

  [[0.45477177]]

  ...

  [[0.45477177]]

  [[0.45178323]]

  [[0.44384458]]]


 ...


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]


 [[[0.037696  ]]

  [[0.037696  ]]

  [[0.04025918]]

  ...

  [[0.04229535]]

  [[0.0382528 ]]

  [[0.03769608]]]]","drag coefficients, spanwise"
rotorse.airfoils_cm,input,,"[[[[ 2.16840434e-19]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  ...

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 2.16840434e-19]]]


 [[[ 1.11539157e-04]]

  [[ 7.77837010e-03]]

  [[ 1.60285275e-02]]

  ...

  [[-2.00356594e-02]]

  [[-9.72296262e-03]]

  [[ 1.11539157e-04]]]


 [[[ 9.06500889e-04]]

  [[ 6.32163593e-02]]

  [[ 1.30267028e-01]]

  ...

  [[-1.62833785e-01]]

  [[-7.90204491e-02]]

  [[ 9.06500889e-04]]]


 ...


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]


 [[[ 2.03767521e-01]]

  [[ 2.00000000e-01]]

  [[ 2.20799783e-01]]

  ...

  [[-3.16976160e-01]]

  [[-9.71630272e-02]]

  [[ 2.03767521e-01]]]]","moment coefficients, spanwise"
rotorse.airfoils_Re,input,,[6000000.],Reynolds numbers of polars
rotorse.Rhub,input,m,[2.],hub radius
rotorse.Rtip,input,m,[65.],tip radius
