variables,units,values,description
blade.internal_structure_2d_fem.twist,rad,"[ 0.2721763   0.27006429  0.25642418  0.2326505   0.20323278  0.17325047
  0.1472625   0.12742885  0.10876434  0.09127312  0.07588126  0.06293023
  0.05197911  0.04228788  0.03357438  0.02561185  0.01843869  0.01208594
  0.00619883  0.00032946 -0.00624786 -0.01455612 -0.02398702 -0.03225994
 -0.03727567 -0.03790458 -0.03679394 -0.0340788  -0.029002   -0.02168376]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.internal_structure_2d_fem.chord,m,"[5.2        5.22814651 5.32105729 5.45815745 5.60229318 5.71827031
 5.76707382 5.71284486 5.53647944 5.29094421 5.03450401 4.81470288
 4.62321904 4.43204464 4.24515221 4.06546765 3.89602837 3.73506076
 3.57914991 3.42460161 3.26800581 3.11191777 2.95713751 2.79989844
 2.6365298  2.46395353 2.28349782 2.09593192 1.90186155 0.5       ]",1D array of the chord values defined along blade span.
blade.internal_structure_2d_fem.pitch_axis,,"[0.50454545 0.47811289 0.4466621  0.41440788 0.38527947 0.35892959
 0.33856114 0.32527807 0.31667602 0.31090357 0.3068321  0.30294031
 0.29844865 0.2940508  0.2906606  0.28842919 0.28784247 0.28830607
 0.29012585 0.29321941 0.29724938 0.30201423 0.30725435 0.31257925
 0.31847554 0.32577906 0.33426195 0.34368536 0.35494244 0.36818182]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.internal_structure_2d_fem.layer_side,Unavailable,"['', '', 'suction', 'pressure', '', '', '', '', '', '', '', '', '', '', '', '', '']",1D array setting whether the layer is on the suction or pressure side. This entry is only used if definition_layer is equal to 1 or 2.
blade.internal_structure_2d_fem.definition_web,Unavailable,[1. 1.],1D array of flags identifying how webs are specified in the yaml. 1) offset+rotation=twist 2) offset+rotation
blade.internal_structure_2d_fem.definition_layer,Unavailable,[ 9.  9.  2.  2.  5.  4.  6.  6.  6.  6.  9. 10. 10. 10. 10. 10. 10.],"1D array of flags identifying how layers are specified in the yaml. 1) all around (skin, paint, ) 2) offset+rotation twist+width (spar caps) 3) offset+user defined rotation+width 4) midpoint TE+width (TE reinf) 5) midpoint LE+width (LE reinf) 6) layer position fixed to other layer (core fillers) 7) start and width 8) end and width 9) start and end nd 10) web layer"
blade.internal_structure_2d_fem.index_layer_start,Unavailable,[0. 0. 0. 0. 0. 0. 5. 2. 4. 3. 0. 0. 0. 0. 0. 0. 0.],Index used to fix a layer to another
blade.internal_structure_2d_fem.index_layer_end,Unavailable,[0. 0. 0. 0. 0. 0. 2. 4. 3. 5. 0. 0. 0. 0. 0. 0. 0.],Index used to fix a layer to another
blade.ps.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.ps.layer_thickness_original,m,"[[0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005
  0.0005     0.0005     0.0005     0.0005     0.0005     0.0005    ]
 [0.05       0.04083949 0.03229024 0.02413744 0.01574086 0.00873885
  0.00473895 0.00314251 0.00230872 0.00203656 0.00200073 0.00200003
  0.002      0.002      0.002      0.002      0.002      0.002
  0.002      0.002      0.002      0.002      0.002      0.002
  0.00179079 0.00132102 0.00104293 0.00100141 0.001      0.001     ]
 [0.0001     0.00458621 0.0152522  0.03040319 0.04741029 0.06354902
  0.07610285 0.08316173 0.08932751 0.09446694 0.097625   0.09835284
  0.09736573 0.09510301 0.09225897 0.08925491 0.08635024 0.0832595
  0.07970991 0.07547437 0.06990189 0.06096827 0.04858105 0.03557957
  0.02481462 0.01778634 0.01195667 0.0069166  0.00333588 0.001     ]
 [0.0001     0.00458621 0.0152522  0.03040319 0.04741029 0.06354902
  0.07610285 0.08316173 0.08932751 0.09446694 0.097625   0.09835284
  0.09736573 0.09510301 0.09225897 0.08925491 0.08635024 0.0832595
  0.07970991 0.07547437 0.06990189 0.06096827 0.04858105 0.03557957
  0.02481462 0.01778634 0.01195667 0.0069166  0.00333588 0.001     ]
 [0.         0.         0.         0.00299507 0.00294581 0.00289655
  0.00284729 0.00279803 0.00274877 0.00269951 0.00265025 0.00260099
  0.00255172 0.00250246 0.0024532  0.00240394 0.00235468 0.00230542
  0.00225616 0.0022069  0.00215764 0.00210837 0.00205911 0.00200985
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.01518664 0.02662026 0.03834655
  0.04863026 0.05708607 0.06589988 0.07394841 0.07924569 0.08003539
  0.07539978 0.06541959 0.05373332 0.04290903 0.03356375 0.02376984
  0.01438179 0.00723847 0.00420409 0.0030288  0.00220799 0.0016398
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.05972906 0.0570197  0.05431034
  0.05160099 0.04889163 0.04618227 0.04347291 0.04076355 0.03805419
  0.03534483 0.03263547 0.02992611 0.02721675 0.02450739 0.02179803
  0.01908867 0.01637931 0.01366995 0.01096059 0.00825123 0.00554187
  0.         0.         0.         0.         0.         0.        ]
 [0.05       0.04083949 0.03229024 0.02413744 0.01574086 0.00873885
  0.00473895 0.00314251 0.00230872 0.00203656 0.00200073 0.00200003
  0.002      0.002      0.002      0.002      0.002      0.002
  0.002      0.002      0.002      0.002      0.002      0.002
  0.00179079 0.00132102 0.00104293 0.00100141 0.001      0.001     ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]
 [0.         0.         0.         0.04284584 0.04130426 0.03976268
  0.0382211  0.03667951 0.03513793 0.03359635 0.03205477 0.03051318
  0.0289716  0.02743002 0.02588844 0.02434686 0.02280527 0.02126369
  0.01972211 0.01818053 0.01663895 0.01509736 0.01355578 0.0120142
  0.01047262 0.00893103 0.00738945 0.00584787 0.         0.        ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]
 [0.         0.         0.         0.04284584 0.04130426 0.03976268
  0.0382211  0.03667951 0.03513793 0.03359635 0.03205477 0.03051318
  0.0289716  0.02743002 0.02588844 0.02434686 0.02280527 0.02126369
  0.01972211 0.01818053 0.01663895 0.01509736 0.01355578 0.0120142
  0.01047262 0.00893103 0.00738945 0.00584787 0.         0.        ]
 [0.         0.         0.         0.00199391 0.00193306 0.00187221
  0.00181136 0.00175051 0.00168966 0.0016288  0.00156795 0.0015071
  0.00144625 0.0013854  0.00132454 0.00126369 0.00120284 0.00114199
  0.00108114 0.00102028 0.00095943 0.00089858 0.00083773 0.00077688
  0.00071602 0.00065517 0.00059432 0.00053347 0.         0.        ]]","2D array of the thickness of the layers of the blade structure. The first dimension represents each layer, the second dimension represents each entry along blade span."
blade.ps.spar_cap_ss_opt_gain,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1.]",1D array of the non-dimensional gains to optimize the blade spanwise distribution of the spar caps suction side
blade.ps.spar_cap_ps_opt_gain,,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 1.]",1D array of the non-dimensional gains to optimize the blade spanwise distribution of the spar caps pressure side
hub.diameter,m,[7.94],
monopile.ref_axis,m,"[[ 0.0000e+00  0.0000e+00 -7.5000e+01]
 [ 0.0000e+00  0.0000e+00 -3.0000e+01]
 [ 0.0000e+00  0.0000e+00 -2.9999e+01]
 [ 0.0000e+00  0.0000e+00 -2.5000e+01]
 [ 0.0000e+00  0.0000e+00 -2.4999e+01]
 [ 0.0000e+00  0.0000e+00 -2.0000e+01]
 [ 0.0000e+00  0.0000e+00 -1.9999e+01]
 [ 0.0000e+00  0.0000e+00 -1.5000e+01]
 [ 0.0000e+00  0.0000e+00 -1.4999e+01]
 [ 0.0000e+00  0.0000e+00 -1.0000e+01]
 [ 0.0000e+00  0.0000e+00 -9.9990e+00]
 [ 0.0000e+00  0.0000e+00 -5.0000e+00]
 [ 0.0000e+00  0.0000e+00 -4.9990e+00]
 [ 0.0000e+00  0.0000e+00  0.0000e+00]
 [ 0.0000e+00  0.0000e+00  1.0000e-03]
 [ 0.0000e+00  0.0000e+00  5.0000e+00]
 [ 0.0000e+00  0.0000e+00  5.0010e+00]
 [ 0.0000e+00  0.0000e+00  1.0000e+01]
 [ 0.0000e+00  0.0000e+00  1.0001e+01]
 [ 0.0000e+00  0.0000e+00  1.5000e+01]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
assembly.blade_ref_axis_user,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 3.47038875e-02  0.00000000e+00  4.03448276e+00]
 [ 8.35457789e-02  0.00000000e+00  8.06896552e+00]
 [ 1.39221829e-01  0.00000000e+00  1.21034483e+01]
 [ 1.91620281e-01  0.00000000e+00  1.61379310e+01]
 [ 2.32058151e-01  0.00000000e+00  2.01724138e+01]
 [ 2.49748715e-01  0.00000000e+00  2.42068966e+01]
 [ 2.49576780e-01  0.00000000e+00  2.82413793e+01]
 [ 2.46161255e-01  0.00000000e+00  3.22758621e+01]
 [ 2.40468154e-01  0.00000000e+00  3.63103448e+01]
 [ 2.32897670e-01  0.00000000e+00  4.03448276e+01]
 [ 2.17967148e-01  0.00000000e+00  4.43793103e+01]
 [ 1.78171719e-01  0.00000000e+00  4.84137931e+01]
 [ 1.00328504e-01  0.00000000e+00  5.24482759e+01]
 [ 3.33661701e-04  0.00000000e+00  5.64827586e+01]
 [-1.11956965e-01  0.00000000e+00  6.05172414e+01]
 [-2.43745733e-01  0.00000000e+00  6.45517241e+01]
 [-4.15231916e-01  0.00000000e+00  6.85862069e+01]
 [-6.20301885e-01  0.00000000e+00  7.26206897e+01]
 [-8.46162280e-01  0.00000000e+00  7.66551724e+01]
 [-1.08028322e+00  0.00000000e+00  8.06896552e+01]
 [-1.32984337e+00  0.00000000e+00  8.47241379e+01]
 [-1.60241994e+00  0.00000000e+00  8.87586207e+01]
 [-1.89518421e+00  0.00000000e+00  9.27931034e+01]
 [-2.20216882e+00  0.00000000e+00  9.68275862e+01]
 [-2.52321796e+00  0.00000000e+00  1.00862069e+02]
 [-2.86378033e+00  0.00000000e+00  1.04896552e+02]
 [-3.22419386e+00  0.00000000e+00  1.08931034e+02]
 [-3.60472885e+00  0.00000000e+00  1.12965517e+02]
 [-4.00000000e+00  0.00000000e+00  1.17000000e+02]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
assembly.rotor_diameter_user,m,[242.23775645],Diameter of the rotor specified by the user. It is defined as two times the blade length plus the hub diameter.
assembly.hub_radius,m,[3.97],Radius of the hub. It defines the distance of the blade root from the rotor center along the coned line.
assembly.tower_ref_axis_user,m,"[[  0.      0.     15.   ]
 [  0.      0.     15.01 ]
 [  0.      0.     28.   ]
 [  0.      0.     28.01 ]
 [  0.      0.     41.   ]
 [  0.      0.     41.01 ]
 [  0.      0.     54.   ]
 [  0.      0.     54.01 ]
 [  0.      0.     67.   ]
 [  0.      0.     67.01 ]
 [  0.      0.     80.   ]
 [  0.      0.     80.01 ]
 [  0.      0.     93.   ]
 [  0.      0.     93.01 ]
 [  0.      0.    106.   ]
 [  0.      0.    106.01 ]
 [  0.      0.    119.   ]
 [  0.      0.    119.01 ]
 [  0.      0.    132.   ]
 [  0.      0.    132.01 ]
 [  0.      0.    144.386]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
assembly.distance_tt_hub,m,[5.614],Vertical distance from tower top to hub center.
assembly.hub_height_user,m,[150.],Height of the hub specified by the user.
tower_grid.ref_axis,m,"[[  0.      0.     15.   ]
 [  0.      0.     15.01 ]
 [  0.      0.     28.   ]
 [  0.      0.     28.01 ]
 [  0.      0.     41.   ]
 [  0.      0.     41.01 ]
 [  0.      0.     54.   ]
 [  0.      0.     54.01 ]
 [  0.      0.     67.   ]
 [  0.      0.     67.01 ]
 [  0.      0.     80.   ]
 [  0.      0.     80.01 ]
 [  0.      0.     93.   ]
 [  0.      0.     93.01 ]
 [  0.      0.    106.   ]
 [  0.      0.    106.01 ]
 [  0.      0.    119.   ]
 [  0.      0.    119.01 ]
 [  0.      0.    132.   ]
 [  0.      0.    132.01 ]
 [  0.      0.    144.386]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
ccblade.Uhub,m/s,[9.],Undisturbed wind speed
ccblade.tsr,,[9.],Tip speed ratio
ccblade.pitch,deg,[0.],Pitch angle
ccblade.r,m,"[  3.97         8.00448276  12.03896552  16.07344828  20.10793103
  24.14241379  28.17689655  32.21137931  36.24586207  40.28034483
  44.31482759  48.34931034  52.3837931   56.41827586  60.45275862
  64.48724138  68.52172414  72.5562069   76.59068965  80.62517241
  84.65965517  88.69413793  92.72862069  96.76310345 100.79758621
 104.83206896 108.86655172 112.90103448 116.93551724 120.97      ]",radial locations where blade is defined (should be increasing and not go all the way to hub or tip)
ccblade.s_opt_chord,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
ccblade.s_opt_twist,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist
ccblade.chord,m,"[5.2        5.22814651 5.32105729 5.45815745 5.60229318 5.71827031
 5.76707382 5.71284486 5.53647944 5.29094421 5.03450401 4.81470288
 4.62321904 4.43204464 4.24515221 4.06546765 3.89602837 3.73506076
 3.57914991 3.42460161 3.26800581 3.11191777 2.95713751 2.79989844
 2.6365298  2.46395353 2.28349782 2.09593192 1.90186155 0.5       ]",chord length at each section
ccblade.twist,rad,"[ 0.2721763   0.27006429  0.25642418  0.2326505   0.20323278  0.17325047
  0.1472625   0.12742885  0.10876434  0.09127312  0.07588126  0.06293023
  0.05197911  0.04228788  0.03357438  0.02561185  0.01843869  0.01208594
  0.00619883  0.00032946 -0.00624786 -0.01455612 -0.02398702 -0.03225994
 -0.03727567 -0.03790458 -0.03679394 -0.0340788  -0.029002   -0.02168376]",twist angle at each section (positive decreases angle of attack)
ccblade.airfoils_aoa,deg,"[-180.         -177.         -174.         -171.         -168.
 -165.         -162.         -159.         -156.         -153.
 -150.         -147.         -144.         -141.         -138.
 -135.         -132.         -129.         -126.         -123.
 -120.         -117.         -114.         -111.         -108.
 -105.         -102.          -99.          -96.          -93.
  -90.          -87.          -84.          -81.          -78.
  -75.          -72.          -69.          -66.          -63.
  -60.          -57.          -54.          -51.          -48.
  -45.          -42.          -39.          -36.          -33.
  -30.          -29.39393939  -28.78787879  -28.18181818  -27.57575758
  -26.96969697  -26.36363636  -25.75757576  -25.15151515  -24.54545455
  -23.93939394  -23.33333333  -22.72727273  -22.12121212  -21.51515152
  -20.90909091  -20.3030303   -19.6969697   -19.09090909  -18.48484848
  -17.87878788  -17.27272727  -16.66666667  -16.06060606  -15.45454545
  -14.84848485  -14.24242424  -13.63636364  -13.03030303  -12.42424242
  -11.81818182  -11.21212121  -10.60606061  -10.           -9.39393939
   -8.78787879   -8.18181818   -7.57575758   -6.96969697   -6.36363636
   -5.75757576   -5.15151515   -4.54545455   -3.93939394   -3.33333333
   -2.72727273   -2.12121212   -1.51515152   -0.90909091   -0.3030303
    0.3030303     0.90909091    1.51515152    2.12121212    2.72727273
    3.33333333    3.93939394    4.54545455    5.15151515    5.75757576
    6.36363636    6.96969697    7.57575758    8.18181818    8.78787879
    9.39393939   10.           10.60606061   11.21212121   11.81818182
   12.42424242   13.03030303   13.63636364   14.24242424   14.84848485
   15.45454545   16.06060606   16.66666667   17.27272727   17.87878788
   18.48484848   19.09090909   19.6969697    20.3030303    20.90909091
   21.51515152   22.12121212   22.72727273   23.33333333   23.93939394
   24.54545455   25.15151515   25.75757576   26.36363636   26.96969697
   27.57575758   28.18181818   28.78787879   29.39393939   30.
   33.           36.           39.           42.           45.
   48.           51.           54.           57.           60.
   63.           66.           69.           72.           75.
   78.           81.           84.           87.           90.
   93.           96.           99.          102.          105.
  108.          111.          114.          117.          120.
  123.          126.          129.          132.          135.
  138.          141.          144.          147.          150.
  153.          156.          159.          162.          165.
  168.          171.          174.          177.          180.        ]",angle of attack grid for polars
ccblade.airfoils_cl,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[ 9.49690215e-05]
   [ 9.49690215e-05]
   [ 9.49690215e-05]]

  [[ 9.51151486e-03]
   [ 9.51151486e-03]
   [ 9.51151486e-03]]

  [[ 1.91168255e-02]
   [ 1.91168255e-02]
   [ 1.91168255e-02]]

  ...

  [[-1.89193823e-02]
   [-1.89193823e-02]
   [-1.89193823e-02]]

  [[-9.31784559e-03]
   [-9.31784559e-03]
   [-9.31784559e-03]]

  [[ 9.49690215e-05]
   [ 9.49690215e-05]
   [ 9.49690215e-05]]]


 [[[ 5.63075311e-05]
   [ 5.63075311e-05]
   [ 5.63075311e-05]]

  [[ 7.25076720e-02]
   [ 7.25076720e-02]
   [ 7.25076720e-02]]

  [[ 1.46221880e-01]
   [ 1.46221880e-01]
   [ 1.46221880e-01]]

  ...

  [[-1.46059055e-01]
   [-1.46059055e-01]
   [-1.46059055e-01]]

  [[-7.23700950e-02]
   [-7.23700950e-02]
   [-7.23700950e-02]]

  [[ 5.63075311e-05]
   [ 5.63075311e-05]
   [ 5.63075311e-05]]]


 ...


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]


 [[[ 0.00000000e+00]
   [ 0.00000000e+00]
   [ 0.00000000e+00]]

  [[ 7.09078783e-02]
   [ 7.09078783e-02]
   [ 7.09078783e-02]]

  [[ 1.41815756e-01]
   [ 1.41815756e-01]
   [ 1.41815756e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.09078783e-02]
   [-7.09078783e-02]
   [-7.09078783e-02]]

  [[ 4.85722573e-18]
   [ 4.85722573e-18]
   [ 4.85722573e-18]]]]","lift coefficients, spanwise"
ccblade.airfoils_cd,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.34034087]
   [0.34034087]
   [0.34034087]]

  [[0.34025231]
   [0.34025231]
   [0.34025231]]

  [[0.34001588]
   [0.34001588]
   [0.34001588]]

  ...

  [[0.34001588]
   [0.34001588]
   [0.34001588]]

  [[0.34025231]
   [0.34025231]
   [0.34025231]]

  [[0.34034087]
   [0.34034087]
   [0.34034087]]]


 [[[0.26353948]
   [0.26353948]
   [0.26353948]]

  [[0.26289933]
   [0.26289933]
   [0.26289933]]

  [[0.26117856]
   [0.26117856]
   [0.26117856]]

  ...

  [[0.26117856]
   [0.26117856]
   [0.26117856]]

  [[0.26289933]
   [0.26289933]
   [0.26289933]]

  [[0.26353948]
   [0.26353948]
   [0.26353948]]]


 ...


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]


 [[[0.02464146]
   [0.02464146]
   [0.02464146]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  ...

  [[0.02958704]
   [0.02958704]
   [0.02958704]]

  [[0.02598997]
   [0.02598997]
   [0.02598997]]

  [[0.02464146]
   [0.02464146]
   [0.02464146]]]]","drag coefficients, spanwise"
